time,equipment_id,sensor_type,value,unit,status
2025-06-29 22:16:37,PUMP_001,temperature,57.3,celsius,normal
2025-06-29 22:16:37,PUMP_001,vibration,1.21,hz,normal
2025-06-29 22:16:37,PUMP_001,pressure,60.1,bar,normal
2025-06-29 22:16:37,PUMP_002,temperature,49.9,celsius,normal
2025-06-29 22:16:37,PUMP_002,vibration,0,hz,normal
2025-06-29 22:16:37,PUMP_002,pressure,64.1,bar,normal
2025-06-29 22:16:37,CONV_001,temperature,38.7,celsius,normal
2025-06-29 22:16:37,CONV_001,vibration,0,hz,normal
2025-06-29 22:16:37,CONV_002,temperature,29.8,celsius,normal
2025-06-29 22:16:37,CONV_002,vibration,2.06,hz,normal
2025-06-29 22:16:37,ROBOT_001,temperature,43.6,celsius,normal
2025-06-29 22:16:37,ROBOT_001,vibration,2.15,hz,normal
2025-06-29 22:16:37,ROBOT_002,temperature,49.6,celsius,normal
2025-06-29 22:16:37,ROBOT_002,vibration,1.4,hz,normal
2025-06-29 22:16:37,COMP_001,temperature,72.1,celsius,normal
2025-06-29 22:16:37,COMP_001,vibration,8.38,hz,normal
2025-06-29 22:16:37,COMP_001,pressure,2.3,bar,normal
2025-06-29 22:16:37,HVAC_001,temperature,18.3,celsius,normal
2025-06-29 22:16:37,HVAC_001,vibration,0,hz,normal
2025-06-29 22:21:37,MOTOR_001,temperature,56.7,celsius,normal
2025-06-29 22:21:37,MOTOR_001,vibration,2.51,hz,normal
2025-06-29 22:21:37,MOTOR_002,temperature,49.5,celsius,normal
2025-06-29 22:21:37,MOTOR_002,vibration,4.59,hz,normal
2025-06-29 22:21:37,PUMP_001,temperature,58.1,celsius,normal
2025-06-29 22:21:37,PUMP_001,vibration,4.8,hz,normal
2025-06-29 22:21:37,PUMP_001,pressure,63.0,bar,normal
2025-06-29 22:21:37,PUMP_002,temperature,48.3,celsius,normal
2025-06-29 22:21:37,PUMP_002,vibration,5.71,hz,normal
2025-06-29 22:21:37,PUMP_002,pressure,61.6,bar,normal
2025-06-29 22:21:37,CONV_001,temperature,31.8,celsius,normal
2025-06-29 22:21:37,CONV_001,vibration,3.93,hz,normal
2025-06-29 22:21:37,CONV_002,temperature,47.2,celsius,normal
2025-06-29 22:21:37,CONV_002,vibration,2.06,hz,normal
2025-06-29 22:21:37,ROBOT_001,temperature,51.8,celsius,normal
2025-06-29 22:21:37,ROBOT_001,vibration,0.0,hz,normal
2025-06-29 22:21:37,ROBOT_002,temperature,42.2,celsius,normal
2025-06-29 22:21:37,ROBOT_002,vibration,1.74,hz,normal
2025-06-29 22:21:37,COMP_001,temperature,70.2,celsius,normal
2025-06-29 22:21:37,COMP_001,vibration,1.07,hz,normal
2025-06-29 22:21:37,COMP_001,pressure,2.2,bar,normal
2025-06-29 22:21:37,HVAC_001,temperature,20.3,celsius,normal
2025-06-29 22:21:37,HVAC_001,vibration,0.19,hz,normal
2025-06-29 22:26:37,MOTOR_001,temperature,51.9,celsius,normal
2025-06-29 22:26:37,MOTOR_001,vibration,3.23,hz,normal
2025-06-29 22:26:37,MOTOR_002,temperature,57.8,celsius,normal
2025-06-29 22:26:37,MOTOR_002,vibration,5.3,hz,normal
2025-06-29 22:26:37,PUMP_001,temperature,56.7,celsius,normal
2025-06-29 22:26:37,PUMP_001,vibration,5.93,hz,normal
2025-06-29 22:26:37,PUMP_001,pressure,70.3,bar,normal
2025-06-29 22:26:37,PUMP_002,temperature,53.2,celsius,normal
2025-06-29 22:26:37,PUMP_002,vibration,6.66,hz,normal
2025-06-29 22:26:37,PUMP_002,pressure,73.0,bar,normal
2025-06-29 22:26:37,CONV_001,temperature,31.4,celsius,normal
2025-06-29 22:26:37,CONV_001,vibration,3.15,hz,normal
2025-06-29 22:26:37,CONV_002,temperature,44.7,celsius,normal
2025-06-29 22:26:37,CONV_002,vibration,2.93,hz,normal
2025-06-29 22:26:37,ROBOT_001,temperature,50.1,celsius,normal
2025-06-29 22:26:37,ROBOT_001,vibration,0.74,hz,normal
2025-06-29 22:26:37,ROBOT_002,temperature,44.7,celsius,normal
2025-06-29 22:26:37,ROBOT_002,vibration,0,hz,normal
2025-06-29 22:26:37,COMP_001,temperature,65.5,celsius,normal
2025-06-29 22:26:37,COMP_001,vibration,8.81,hz,normal
2025-06-29 22:26:37,COMP_001,pressure,2.2,bar,normal
2025-06-29 22:26:37,HVAC_001,temperature,20.9,celsius,normal
2025-06-29 22:26:37,HVAC_001,vibration,0.63,hz,normal
2025-06-29 22:31:37,MOTOR_001,temperature,61.7,celsius,normal
2025-06-29 22:31:37,MOTOR_001,vibration,0,hz,normal
2025-06-29 22:31:37,MOTOR_002,temperature,54.3,celsius,normal
2025-06-29 22:31:37,MOTOR_002,vibration,0,hz,normal
2025-06-29 22:31:37,PUMP_001,temperature,52.2,celsius,normal
2025-06-29 22:31:37,PUMP_001,vibration,0,hz,normal
2025-06-29 22:31:37,PUMP_001,pressure,58.9,bar,normal
2025-06-29 22:31:37,PUMP_002,temperature,48.4,celsius,normal
2025-06-29 22:31:37,PUMP_002,vibration,4.34,hz,normal
2025-06-29 22:31:37,PUMP_002,pressure,57.0,bar,normal
2025-06-29 22:31:37,CONV_001,temperature,41.7,celsius,normal
2025-06-29 22:31:37,CONV_001,vibration,1.83,hz,normal
2025-06-29 22:31:37,CONV_002,temperature,34.1,celsius,normal
2025-06-29 22:31:37,CONV_002,vibration,1.77,hz,normal
2025-06-29 22:31:37,ROBOT_001,temperature,47.3,celsius,normal
2025-06-29 22:31:37,ROBOT_001,vibration,1.96,hz,normal
2025-06-29 22:31:37,ROBOT_002,temperature,42.6,celsius,normal
2025-06-29 22:31:37,ROBOT_002,vibration,3.03,hz,normal
2025-06-29 22:31:37,COMP_001,temperature,67.3,celsius,normal
2025-06-29 22:31:37,COMP_001,vibration,7.56,hz,normal
2025-06-29 22:31:37,COMP_001,pressure,2.1,bar,normal
2025-06-29 22:31:37,HVAC_001,temperature,20.7,celsius,normal
2025-06-29 22:31:37,HVAC_001,vibration,0,hz,normal
2025-06-29 22:36:37,MOTOR_001,temperature,66.7,celsius,normal
2025-06-29 22:36:37,MOTOR_001,vibration,2.5,hz,normal
2025-06-29 22:36:37,MOTOR_002,temperature,60.1,celsius,normal
2025-06-29 22:36:37,MOTOR_002,vibration,0.63,hz,normal
2025-06-29 22:36:37,PUMP_001,temperature,52.4,celsius,normal
2025-06-29 22:36:37,PUMP_001,vibration,2.1,hz,normal
2025-06-29 22:36:37,PUMP_001,pressure,55.8,bar,normal
2025-06-29 22:36:37,PUMP_002,temperature,52.6,celsius,normal
2025-06-29 22:36:37,PUMP_002,vibration,1.49,hz,normal
2025-06-29 22:36:37,PUMP_002,pressure,61.8,bar,normal
2025-06-29 22:36:37,CONV_001,temperature,44.6,celsius,normal
2025-06-29 22:36:37,CONV_001,vibration,0,hz,normal
2025-06-29 22:36:37,CONV_002,temperature,35.2,celsius,normal
2025-06-29 22:36:37,CONV_002,vibration,0,hz,normal
2025-06-29 22:36:37,ROBOT_001,temperature,39.5,celsius,normal
2025-06-29 22:36:37,ROBOT_001,vibration,1.22,hz,normal
2025-06-29 22:36:37,ROBOT_002,temperature,42.4,celsius,normal
2025-06-29 22:36:37,ROBOT_002,vibration,1.29,hz,normal
2025-06-29 22:36:37,COMP_001,temperature,67.6,celsius,normal
2025-06-29 22:36:37,COMP_001,vibration,4.31,hz,normal
2025-06-29 22:36:37,COMP_001,pressure,2.3,bar,normal
2025-06-29 22:36:37,HVAC_001,temperature,21.3,celsius,normal
2025-06-29 22:36:37,HVAC_001,vibration,0.5,hz,normal
2025-06-29 22:41:37,MOTOR_001,temperature,55.8,celsius,normal
2025-06-29 22:41:37,MOTOR_001,vibration,0,hz,normal
2025-06-29 22:41:37,MOTOR_002,temperature,58.5,celsius,normal
2025-06-29 22:41:37,MOTOR_002,vibration,2.88,hz,normal
2025-06-29 22:41:37,PUMP_001,temperature,47.3,celsius,normal
2025-06-29 22:41:37,PUMP_001,vibration,0.62,hz,normal
2025-06-29 22:41:37,PUMP_001,pressure,59.7,bar,normal
2025-06-29 22:41:37,PUMP_002,temperature,48.0,celsius,normal
2025-06-29 22:41:37,PUMP_002,vibration,0,hz,normal
2025-06-29 22:41:37,PUMP_002,pressure,59.1,bar,normal
2025-06-29 22:41:37,CONV_001,temperature,31.8,celsius,normal
2025-06-29 22:41:37,CONV_001,vibration,1.86,hz,normal
2025-06-29 22:41:37,CONV_002,temperature,35.7,celsius,normal
2025-06-29 22:41:37,CONV_002,vibration,0,hz,normal
2025-06-29 22:41:37,ROBOT_001,temperature,46.0,celsius,normal
2025-06-29 22:41:37,ROBOT_001,vibration,0,hz,normal
2025-06-29 22:41:37,ROBOT_002,temperature,47.6,celsius,normal
2025-06-29 22:41:37,ROBOT_002,vibration,2.68,hz,normal
2025-06-29 22:41:37,COMP_001,temperature,66.7,celsius,normal
2025-06-29 22:41:37,COMP_001,vibration,0,hz,normal
2025-06-29 22:41:37,COMP_001,pressure,1.7,bar,normal
2025-06-29 22:41:37,HVAC_001,temperature,18.8,celsius,normal
2025-06-29 22:41:37,HVAC_001,vibration,0.62,hz,normal
2025-06-29 22:46:37,MOTOR_001,temperature,67.2,celsius,normal
2025-06-29 22:46:37,MOTOR_001,vibration,2.25,hz,normal
2025-06-29 22:46:37,MOTOR_002,temperature,65.9,celsius,normal
2025-06-29 22:46:37,MOTOR_002,vibration,4.66,hz,normal
2025-06-29 22:46:37,PUMP_001,temperature,57.3,celsius,normal
2025-06-29 22:46:37,PUMP_001,vibration,3.13,hz,normal
2025-06-29 22:46:37,PUMP_001,pressure,71.6,bar,normal
2025-06-29 22:46:37,PUMP_002,temperature,48.8,celsius,normal
2025-06-29 22:46:37,PUMP_002,vibration,7.39,hz,normal
2025-06-29 22:46:37,PUMP_002,pressure,53.2,bar,normal
2025-06-29 22:46:37,CONV_001,temperature,41.2,celsius,normal
2025-06-29 22:46:37,CONV_001,vibration,3.37,hz,normal
2025-06-29 22:46:37,CONV_002,temperature,34.6,celsius,normal
2025-06-29 22:46:37,CONV_002,vibration,3.89,hz,normal
2025-06-29 22:46:37,ROBOT_001,temperature,42.7,celsius,normal
2025-06-29 22:46:37,ROBOT_001,vibration,1.5,hz,normal
2025-06-29 22:46:37,ROBOT_002,temperature,52.4,celsius,normal
2025-06-29 22:46:37,ROBOT_002,vibration,0.84,hz,normal
2025-06-29 22:46:37,COMP_001,temperature,75.0,celsius,normal
2025-06-29 22:46:37,COMP_001,vibration,9.3,hz,normal
2025-06-29 22:46:37,COMP_001,pressure,2.1,bar,normal
2025-06-29 22:46:37,HVAC_001,temperature,20.4,celsius,normal
2025-06-29 22:46:37,HVAC_001,vibration,0,hz,normal
2025-06-29 22:51:37,MOTOR_001,temperature,50.4,celsius,normal
2025-06-29 22:51:37,MOTOR_001,vibration,0,hz,normal
2025-06-29 22:51:37,MOTOR_002,temperature,51.7,celsius,normal
2025-06-29 22:51:37,MOTOR_002,vibration,0.75,hz,normal
2025-06-29 22:51:37,PUMP_001,temperature,49.0,celsius,normal
2025-06-29 22:51:37,PUMP_001,vibration,0.15,hz,normal
2025-06-29 22:51:37,PUMP_001,pressure,60.1,bar,normal
2025-06-29 22:51:37,PUMP_002,temperature,48.8,celsius,normal
2025-06-29 22:51:37,PUMP_002,vibration,2.07,hz,normal
2025-06-29 22:51:37,PUMP_002,pressure,65.8,bar,normal
2025-06-29 22:51:37,CONV_001,temperature,39.8,celsius,normal
2025-06-29 22:51:37,CONV_001,vibration,2.73,hz,normal
2025-06-29 22:51:37,CONV_002,temperature,33.2,celsius,normal
2025-06-29 22:51:37,CONV_002,vibration,1.29,hz,normal
2025-06-29 22:51:37,ROBOT_001,temperature,39.4,celsius,normal
2025-06-29 22:51:37,ROBOT_001,vibration,2.71,hz,normal
2025-06-29 22:51:37,ROBOT_002,temperature,52.7,celsius,normal
2025-06-29 22:51:37,ROBOT_002,vibration,2.6,hz,normal
2025-06-29 22:51:37,COMP_001,temperature,76.2,celsius,normal
2025-06-29 22:51:37,COMP_001,vibration,4.27,hz,normal
2025-06-29 22:51:37,COMP_001,pressure,1.7,bar,normal
2025-06-29 22:51:37,HVAC_001,temperature,18.2,celsius,normal
2025-06-29 22:51:37,HVAC_001,vibration,1.7,hz,normal
2025-06-29 22:56:37,MOTOR_001,temperature,53.0,celsius,normal
2025-06-29 22:56:37,MOTOR_001,vibration,1.6,hz,normal
2025-06-29 22:56:37,MOTOR_002,temperature,59.8,celsius,normal
2025-06-29 22:56:37,MOTOR_002,vibration,0,hz,normal
2025-06-29 22:56:37,PUMP_001,temperature,51.4,celsius,normal
2025-06-29 22:56:37,PUMP_001,vibration,5.7,hz,normal
2025-06-29 22:56:37,PUMP_001,pressure,70.0,bar,normal
2025-06-29 22:56:37,PUMP_002,temperature,51.3,celsius,normal
2025-06-29 22:56:37,PUMP_002,vibration,2.25,hz,normal
2025-06-29 22:56:37,PUMP_002,pressure,58.5,bar,normal
2025-06-29 22:56:37,CONV_001,temperature,46.4,celsius,normal
2025-06-29 22:56:37,CONV_001,vibration,0,hz,normal
2025-06-29 22:56:37,CONV_002,temperature,40.3,celsius,normal
2025-06-29 22:56:37,CONV_002,vibration,1.99,hz,normal
2025-06-29 22:56:37,ROBOT_001,temperature,41.1,celsius,normal
2025-06-29 22:56:37,ROBOT_001,vibration,2.6,hz,normal
2025-06-29 22:56:37,ROBOT_002,temperature,42.3,celsius,normal
2025-06-29 22:56:37,ROBOT_002,vibration,0.89,hz,normal
2025-06-29 22:56:37,COMP_001,temperature,78.3,celsius,normal
2025-06-29 22:56:37,COMP_001,vibration,4.38,hz,normal
2025-06-29 22:56:37,COMP_001,pressure,2.1,bar,normal
2025-06-29 22:56:37,HVAC_001,temperature,19.6,celsius,normal
2025-06-29 22:56:37,HVAC_001,vibration,1.77,hz,normal
2025-06-29 23:01:37,MOTOR_001,temperature,55.0,celsius,normal
2025-06-29 23:01:37,MOTOR_001,vibration,4.02,hz,normal
2025-06-29 23:01:37,MOTOR_002,temperature,54.1,celsius,normal
2025-06-29 23:01:37,MOTOR_002,vibration,5.34,hz,normal
2025-06-29 23:01:37,PUMP_001,temperature,50.0,celsius,normal
2025-06-29 23:01:37,PUMP_001,vibration,7.26,hz,normal
2025-06-29 23:01:37,PUMP_001,pressure,61.3,bar,normal
2025-06-29 23:01:37,PUMP_002,temperature,54.7,celsius,normal
2025-06-29 23:01:37,PUMP_002,vibration,2.89,hz,normal
2025-06-29 23:01:37,PUMP_002,pressure,61.7,bar,normal
2025-06-29 23:01:37,CONV_001,temperature,41.3,celsius,normal
2025-06-29 23:01:37,CONV_001,vibration,0.9,hz,normal
2025-06-29 23:01:37,CONV_002,temperature,30.4,celsius,normal
2025-06-29 23:01:37,CONV_002,vibration,0,hz,normal
2025-06-29 23:01:37,ROBOT_001,temperature,50.9,celsius,normal
2025-06-29 23:01:37,ROBOT_001,vibration,0.75,hz,normal
2025-06-29 23:01:37,ROBOT_002,temperature,40.4,celsius,normal
2025-06-29 23:01:37,ROBOT_002,vibration,0.58,hz,normal
2025-06-29 23:01:37,COMP_001,temperature,64.8,celsius,normal
2025-06-29 23:01:37,COMP_001,vibration,1.36,hz,normal
2025-06-29 23:01:37,COMP_001,pressure,1.9,bar,normal
2025-06-29 23:01:37,HVAC_001,temperature,21.8,celsius,normal
2025-06-29 23:01:37,HVAC_001,vibration,1.11,hz,normal
2025-06-29 23:06:37,MOTOR_001,temperature,64.4,celsius,normal
2025-06-29 23:06:37,MOTOR_001,vibration,2.51,hz,normal
2025-06-29 23:06:37,MOTOR_002,temperature,55.6,celsius,normal
2025-06-29 23:06:37,MOTOR_002,vibration,5.16,hz,normal
2025-06-29 23:06:37,PUMP_001,temperature,58.8,celsius,normal
2025-06-29 23:06:37,PUMP_001,vibration,0,hz,normal
2025-06-29 23:06:37,PUMP_001,pressure,70.9,bar,normal
2025-06-29 23:06:37,PUMP_002,temperature,57.3,celsius,normal
2025-06-29 23:06:37,PUMP_002,vibration,7.24,hz,normal
2025-06-29 23:06:37,PUMP_002,pressure,64.3,bar,normal
2025-06-29 23:06:37,CONV_001,temperature,47.2,celsius,normal
2025-06-29 23:06:37,CONV_001,vibration,0.32,hz,normal
2025-06-29 23:06:37,CONV_002,temperature,46.1,celsius,normal
2025-06-29 23:06:37,CONV_002,vibration,2.52,hz,normal
2025-06-29 23:06:37,ROBOT_001,temperature,50.0,celsius,normal
2025-06-29 23:06:37,ROBOT_001,vibration,2.31,hz,normal
2025-06-29 23:06:37,ROBOT_002,temperature,47.0,celsius,normal
2025-06-29 23:06:37,ROBOT_002,vibration,1.64,hz,normal
2025-06-29 23:06:37,COMP_001,temperature,78.9,celsius,normal
2025-06-29 23:06:37,COMP_001,vibration,8.45,hz,normal
2025-06-29 23:06:37,COMP_001,pressure,2.3,bar,normal
2025-06-29 23:06:37,HVAC_001,temperature,21.2,celsius,normal
2025-06-29 23:06:37,HVAC_001,vibration,1.71,hz,normal
2025-06-29 23:11:37,MOTOR_001,temperature,55.2,celsius,normal
2025-06-29 23:11:37,MOTOR_001,vibration,3.76,hz,normal
2025-06-29 23:11:37,MOTOR_002,temperature,53.0,celsius,normal
2025-06-29 23:11:37,MOTOR_002,vibration,5.17,hz,normal
2025-06-29 23:11:37,PUMP_001,temperature,49.3,celsius,normal
2025-06-29 23:11:37,PUMP_001,vibration,2.97,hz,normal
2025-06-29 23:11:37,PUMP_001,pressure,63.5,bar,normal
2025-06-29 23:11:37,PUMP_002,temperature,44.5,celsius,normal
2025-06-29 23:11:37,PUMP_002,vibration,2.91,hz,normal
2025-06-29 23:11:37,PUMP_002,pressure,71.2,bar,normal
2025-06-29 23:11:37,CONV_001,temperature,35.9,celsius,normal
2025-06-29 23:11:37,CONV_001,vibration,0,hz,normal
2025-06-29 23:11:37,CONV_002,temperature,47.2,celsius,normal
2025-06-29 23:11:37,CONV_002,vibration,2.29,hz,normal
2025-06-29 23:11:37,ROBOT_001,temperature,43.3,celsius,normal
2025-06-29 23:11:37,ROBOT_001,vibration,1.41,hz,normal
